,material,exp_label,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rX_rB_ratio,chi_AX_ratio,chi_BX_ratio,log_rA_rB_ratio,t_sisso,t,tau,t_jess,p_t_sisso,dataset
221,CsPbBr3,1.0,1.88,1.19,1.96,1.0,2.0,-1.0,0.79,2.33,2.96,1.5798319327731092,0.6071428571428571,0.9591836734693876,-2.17,-0.6299999999999999,-2.65,-1.11,1.647058823529412,0.8188679245283019,0.5675675675675674,0.4573184697184198,2.5287857127638707,0.8619990093745759,4.101614100393352,1.2436639795630675,0.4455547107276393,train
222,RbPbF3,1.0,1.72,1.19,1.33,1.0,2.0,-1.0,0.82,2.33,3.98,1.4453781512605042,0.894736842105263,1.2932330827067668,-3.16,-1.65,-2.62,-1.11,1.1176470588235294,1.2061068702290076,1.4864864864864862,0.3683709837019236,3.0776312167080278,0.8558258393855652,4.04134956311759,0.6944008129143671,0.0161944832735299,train
223,NaCdBr3,0.0,1.39,0.95,1.96,1.0,2.0,-1.0,0.93,1.69,2.96,1.463157894736842,0.4846938775510204,0.7091836734693877,-2.03,-1.27,-2.51,-1.75,2.0631578947368423,0.8087649402390438,0.7257142857142858,0.3805970415301508,2.997388827031956,0.8140253209501371,4.907533270999274,0.9071822795982564,0.0278574889657967,train
224,PrLuSe3,0.0,1.179,0.861,1.98,3.0,3.0,-2.0,1.13,1.27,2.55,1.3693379790940767,0.4348484848484849,0.5954545454545455,-1.42,-1.2799999999999998,-2.31,-2.17,2.29965156794425,0.6147186147186147,0.5898617511520736,0.3143273961096401,3.3252078254487683,0.7862569336679974,6.368871712692052,0.8193899199826054,0.003050206499001,train
225,CsHgCl3,1.0,1.88,1.02,1.81,1.0,2.0,-1.0,0.79,2.0,3.16,1.843137254901961,0.56353591160221,1.0386740331491713,-2.37,-1.16,-2.65,-1.44,1.7745098039215683,0.8943396226415095,0.8055555555555556,0.6114691495456782,2.20523496279646,0.9219896096018646,3.7887865769548648,1.0236064214864162,0.890500849235463,train
0,PbLiCl3,0.0,1.49,0.76,1.81,2.0,1.0,-1.0,2.33,0.98,3.16,1.9605263157894737,0.4198895027624309,0.8232044198895028,-0.8300000000000001,-2.18,-1.11,-2.46,2.381578947368421,0.7477477477477478,0.8861788617886179,0.673212965659128,2.965757110428847,0.9079604108350272,4.205965629731158,0.7661267736354072,0.0344699442246146,test
1,CsTiBr3,0.0,1.88,0.86,1.96,1.0,2.0,-1.0,0.79,1.54,2.96,2.186046511627907,0.4387755102040816,0.9591836734693876,-2.17,-1.42,-2.65,-1.9,2.2790697674418605,0.8188679245283019,0.7473684210526316,0.7820946665764414,2.513238524301653,0.9628712338758562,4.074187296112854,1.0549875358145508,0.4735350942309259,test
2,NdYbS3,0.0,1.27,0.868,1.84,3.0,3.0,-2.0,1.14,1.1,2.58,1.463133640552995,0.4717391304347826,0.6902173913043478,-1.4400000000000002,-1.48,-2.3,-2.34,2.119815668202765,0.6260869565217393,0.6324786324786326,0.3805804647922866,2.817114563277386,0.8120781495547562,4.653252950788026,0.8038714843536154,0.0920060810313532,test
3,KMgF3,1.0,1.64,0.72,1.33,1.0,2.0,-1.0,0.82,1.31,3.98,2.2777777777777777,0.5413533834586466,1.2330827067669172,-3.16,-2.67,-2.62,-2.13,1.8472222222222223,1.2061068702290076,1.2535211267605637,0.8232003088081431,2.205138774437104,1.0244450879323992,3.614200992037822,0.9856955996591176,0.8905665424048905,test
4,SrZrSe3,0.0,1.44,0.72,1.98,2.0,4.0,-2.0,0.95,1.33,2.55,2.0,0.3636363636363636,0.7272727272727273,-1.6,-1.2199999999999998,-2.49,-2.11,2.7500000000000004,0.642570281124498,0.5781990521327013,0.6931471805599453,2.5623815862859782,0.8956708456782703,4.5207801635558535,0.995386389824821,0.3864815829150114,test
5,NaCrCl3,0.0,1.39,0.8,1.81,1.0,2.0,-1.0,0.93,1.66,3.16,1.7374999999999998,0.4419889502762431,0.7679558011049723,-2.23,-1.5000000000000002,-2.51,-1.78,2.2625,0.8884462151394423,0.8426966292134832,0.5524472984568101,2.515296759242439,0.8669530266698321,4.407596382683888,0.914019480494882,0.4698176690367979,test
6,NaCaBr3,0.0,1.39,1.0,1.96,1.0,2.0,-1.0,0.93,1.0,2.96,1.39,0.5102040816326531,0.7091836734693877,-2.03,-1.96,-2.51,-2.44,1.96,0.8087649402390438,0.8032786885245902,0.3293037471426003,3.3663661641822986,0.8002748932313849,5.181026976040088,0.8057406295539667,0.002316427879375,test
7,SmScS3,1.0,1.24,0.745,1.84,3.0,3.0,-2.0,1.17,1.36,2.58,1.6644295302013423,0.404891304347826,0.6739130434782609,-1.41,-1.22,-2.27,-2.08,2.469798657718121,0.6211453744493391,0.5865384615384615,0.509482440219523,2.52086261308398,0.8425123296413742,3.2705065848697337,0.8922221998888648,0.4597825361049432,test
8,CsGeCl3,0.0,1.88,0.73,1.81,1.0,2.0,-1.0,0.79,2.01,3.16,2.5753424657534247,0.4033149171270718,1.0386740331491713,-2.37,-1.1500000000000004,-2.65,-1.4300000000000002,2.4794520547945207,0.8943396226415095,0.8041958041958044,0.945982521681558,2.8871265923624585,1.0272561398319988,4.201851683463718,1.1424032103378594,0.0582548957333421,test
9,RbYbI3,0.0,1.72,1.02,2.2,1.0,2.0,-1.0,0.82,1.1,2.66,1.6862745098039216,0.4636363636363636,0.7818181818181817,-1.8400000000000003,-1.56,-2.62,-2.34,2.156862745098039,0.7022900763358779,0.6666666666666667,0.522521663529182,2.5138991760791862,0.8608278150683604,4.384048577766862,0.9068262479346086,0.4723415475865669,test
10,RbSrF3,0.0,1.72,1.18,1.33,1.0,2.0,-1.0,0.82,0.95,3.98,1.457627118644068,0.8872180451127819,1.2932330827067668,-3.16,-3.03,-2.62,-2.49,1.1271186440677967,1.2061068702290076,1.216867469879518,0.3768098523477883,3.0006392754951903,0.8592355040843126,3.995454648453122,0.8516373970645964,0.0272533705623022,test
11,TlCdF3,1.0,1.7,0.95,1.33,1.0,2.0,-1.0,1.62,1.69,3.98,1.7894736842105263,0.7142857142857142,1.2781954887218043,-2.36,-2.29,-1.82,-1.75,1.4,1.2967032967032963,1.3085714285714285,0.581921545449721,2.0806830394874507,0.9397100631596812,3.4751115819703573,0.931187331649667,0.9508009639370384,test
