# FEAT_ID     Score                   Feature Expression
123           123.087531460818084     (((chi_BX_ratio * chi_AX_ratio) * (rB_rX_ratio + nB)) - ((chi_BX_ratio / log_rA_rB_ratio) + (log_rA_rB_ratio / rB_rX_ratio)))
124           123.105021649366861     (((chi_BX_ratio * rB_rX_ratio) + (chi_AX_ratio - log_rA_rB_ratio)) * ((chi_AX_ratio - nB) * (log_rA_rB_ratio^2)))
125           123.131535146382305     (((chi_BX_ratio * log_rA_rB_ratio) + (chi_BX_ratio / nB)) - ((chi_BX_ratio * log_rA_rB_ratio) * (chi_AX_ratio + rB_rX_ratio)))
126           123.256291215436633     (((chi_AX_ratio + rB_rX_ratio) - (chi_AX_ratio / nB)) / ((log_rA_rB_ratio - rB_rX_ratio) + (rB_rX_ratio / log_rA_rB_ratio)))
127           123.287028824651884     (((chi_BX_ratio / rB_rX_ratio) + (log_rA_rB_ratio / nB)) - ((chi_BX_ratio * nB) * (chi_AX_ratio * log_rA_rB_ratio)))
128           124.000730740317834     (((chi_BX_ratio - log_rA_rB_ratio) / (log_rA_rB_ratio * nB)) * ((1.0 / log_rA_rB_ratio) - (rB_rX_ratio + nB)))
129           124.003809277692753     (((chi_AX_ratio / log_rA_rB_ratio) / (log_rA_rB_ratio * nB)) + ((chi_AX_ratio + log_rA_rB_ratio) / (chi_AX_ratio * rB_rX_ratio)))
130           124.013562132037407     (((chi_BX_ratio / log_rA_rB_ratio) / (nB^2)) - ((chi_AX_ratio - log_rA_rB_ratio) + (log_rA_rB_ratio * rB_rX_ratio)))
131           124.016128909106769     (((chi_BX_ratio / nB) + (chi_AX_ratio - log_rA_rB_ratio)) * ((1.0 / log_rA_rB_ratio) - (rB_rX_ratio + nB)))
132           124.01672733822312      (((chi_AX_ratio / log_rA_rB_ratio) + (log_rA_rB_ratio * nB)) / ((chi_AX_ratio * nB) + rB_rX_ratio))
133           124.01816511183813      (((chi_BX_ratio / log_rA_rB_ratio) / nB) - ((chi_BX_ratio^2) - log_rA_rB_ratio))
134           124.024051256773873     (((chi_BX_ratio + chi_AX_ratio) - (1.0 / rB_rX_ratio)) + ((chi_BX_ratio / log_rA_rB_ratio) / (rB_rX_ratio - nB)))
135           124.024316951344161     (((chi_BX_ratio + rB_rX_ratio) / (log_rA_rB_ratio * nB)) - ((chi_AX_ratio + rB_rX_ratio) - (1.0 / rB_rX_ratio)))
136           124.024648157037973     (((log_rA_rB_ratio / rB_rX_ratio) / (chi_AX_ratio + log_rA_rB_ratio)) + (1.0 / (log_rA_rB_ratio * nB)))
137           124.024936955482701     (((chi_BX_ratio + rB_rX_ratio) / (log_rA_rB_ratio * nB)) - ((chi_BX_ratio + rB_rX_ratio) - (1.0 / rB_rX_ratio)))
138           124.024983107078924     (((chi_BX_ratio * chi_AX_ratio) - (log_rA_rB_ratio - rB_rX_ratio)) - ((chi_AX_ratio^2) / (log_rA_rB_ratio * nB)))
139           124.027819118478092     (((chi_AX_ratio^2) - (log_rA_rB_ratio / chi_AX_ratio)) - ((chi_AX_ratio^2) / (log_rA_rB_ratio * nB)))
140           124.03097273634738      (((log_rA_rB_ratio - rB_rX_ratio) / (chi_AX_ratio * rB_rX_ratio)) + ((rB_rX_ratio + nB) / (log_rA_rB_ratio * nB)))
141           124.03559132986922      (((chi_BX_ratio / log_rA_rB_ratio) / (rB_rX_ratio + nB)) + ((log_rA_rB_ratio / chi_AX_ratio) - chi_BX_ratio))
142           124.038597904914354     (((chi_BX_ratio / log_rA_rB_ratio) + (nB / rB_rX_ratio)) / ((chi_AX_ratio * nB) - (rB_rX_ratio - nB)))
143           124.038662834848367     (((chi_AX_ratio + rB_rX_ratio) - (log_rA_rB_ratio - rB_rX_ratio)) - ((chi_AX_ratio / nB) + (rB_rX_ratio / log_rA_rB_ratio)))
144           124.038662834848367     (((chi_AX_ratio + rB_rX_ratio) - (rB_rX_ratio / log_rA_rB_ratio)) - ((chi_AX_ratio / nB) + (log_rA_rB_ratio - rB_rX_ratio)))
145           124.038662834848367     (((chi_AX_ratio + rB_rX_ratio) - (chi_AX_ratio / nB)) - ((log_rA_rB_ratio - rB_rX_ratio) + (rB_rX_ratio / log_rA_rB_ratio)))
146           124.039613255188669     (((chi_BX_ratio * chi_AX_ratio) - log_rA_rB_ratio) - ((chi_BX_ratio / log_rA_rB_ratio) / (rB_rX_ratio + nB)))
147           124.041774885562475     (((chi_BX_ratio * chi_AX_ratio) - (chi_AX_ratio / log_rA_rB_ratio)) - ((log_rA_rB_ratio / chi_AX_ratio) / (rB_rX_ratio * nB)))
148           124.046763910080259     (((log_rA_rB_ratio / chi_AX_ratio) - (log_rA_rB_ratio + rB_rX_ratio)) * ((1.0 / log_rA_rB_ratio) - (rB_rX_ratio + nB)))
149           124.046897465485188     (((chi_BX_ratio / log_rA_rB_ratio) / (rB_rX_ratio + nB)) - ((chi_BX_ratio^2) - log_rA_rB_ratio))
150           124.047301326461763     (((chi_BX_ratio / log_rA_rB_ratio) - (chi_BX_ratio * nB)) - ((chi_AX_ratio - log_rA_rB_ratio) * (log_rA_rB_ratio + nB)))
151           124.048688143754632     (((chi_BX_ratio / log_rA_rB_ratio) - (chi_AX_ratio * nB)) - ((chi_BX_ratio - log_rA_rB_ratio) * (log_rA_rB_ratio + nB)))
